plu,nombre,marca,categoria,precio_actual,precio_regular,precio_sin_imp,precio_x_unidad,fecha
181878,Vino Cabernet-Malbec-Merlot INTIMO Bot 750 CC,Intimo,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,8424.42,12636.0,10442.98,16848.0,20260219
204044,Fernet 1882   Botella 450 Cc,1882,Fernet > Bebidas Con Alcohol > Bebidas > BEBIDAS CON ALCOHOL > Aperitivos > APERITIVOS,4852.5,6470.0,5347.11,14377.77,20260219
51054,Anana Fizz . Victoria Bot 720 Cmq,La Victoria,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Fizz > Bebidas Con Alcohol > Bebidas,3299.25,4399.0,3635.54,6109.72,20260219
63781,Anana Fizz . DEL VALLE Bot 720 Cmq,Del Valle,Sidras Y Bebidas Fizz > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,4125.0,5500.0,4545.45,7638.88,20260219
257242,Champaña Extra Brut Estancia Mendoza Bot 750 Cmq,Estancia Mendoza,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,5972.97,8959.0,7404.13,11945.33,20260219
472347,Fernet Cola 1882 473ml,1882,Sin Tacc > Fernet > Bebidas Con Alcohol > Bebidas > Aperitivos,1489.5,1986.0,1641.32,4198.73,20260219
257305,DADÁ 7 Dulce 750 Ml ,Dadá,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,6677.0,10015.0,8276.86,13353.33,20260219
3946,Vino Fino Blanco MONTCHENOT 750cc,Montchenot,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,7133.69,10700.0,8842.98,14266.66,20260219
4844,Vino Blanco Tocai GOYENECHEA 750cc,Goyenechea,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,3714.85,5572.0,4604.96,7429.33,20260219
164970,Vino Chardon . Elementos Bot 750 Cmq,Elementos,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,4242.88,6364.0,5259.5,8485.33,20260219
57947,Vino Sauvign . MARCUS Bot 750 Cmq,Marcus,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,4870.24,7305.0,6037.19,9740.0,20260219
236954,Vino Torront . Serie A Zuc Bot 750 Cmq,Zuccard Serie A,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,10749.87,16124.0,13325.62,21498.66,20260219
197404,Vino Malbec Santa Julia Magna Bot 750 CC,Magna Sta Julia,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,7891.06,11836.0,9781.82,15781.33,20260219
141627,Vino Syrah Alaris TRAPICHE Bot 750 CC,Trapiche,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3846.19,5769.0,4767.77,7692.0,20260219
284077,Vino Malbec Putruele Bot 375 Ml,Putruele,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,3235.5,4853.0,4010.74,12941.33,20260219
469195,Vino Cab Franc . Humberto Ca Bot 750 Ml,Humberto Canale,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,11200.56,16800.0,13884.3,22400.0,20260219
457107,Vino F.Blanco Dulce Natural Familia Gas Bot 750 Ml,Familia Gascon,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,4830.24,7245.0,5987.6,9660.0,20260219
268143,Vino Blanco Tocai Dulce Natural Goyenechea Bot 750 Ml,Goyenechea,Vinos Blancos > Vinos > Bebidas Con Alcohol > Bebidas,4305.55,6458.0,5337.19,8610.66,20260219
219201,Vino Malbec Heritage LA CELIA Bot 750 CC,La Celia,Vinos Tintos > Vinos > Bebidas Con Alcohol > Bebidas,32334.95,48500.0,40082.64,64666.66,20260219
290455,MARÍA Codorniu Dulce 750 Ml ,María,Champañas > Champagne Y Espumantes > Bebidas Con Alcohol > Bebidas,8013.73,12020.0,9933.88,16026.66,20260219
